No.,Title,Price,Year
0,АвтомобільНива ВАЗ 2121,125922,2002
1,Машина  в хорошем состоянии,79151,1999
2,Продам Seat Cordoba,50000,1994
3,Ваз 2101 газ бензин,35978,1980
4,Продам Мерседес Мль 350,323800,2007
5,Продаю Opel Vektra C,161900,2008
6,Daewoo sens (Део сенс),53967,2007
7,Продам е46 touring 320d,147509,2001
8,Продам авто Golf 3,120526,1994
9,Продам Chery amulet,82749,2007
10,Mitsubishi L 200. 2015 рік,136716,2015
11,Продам volkswagen sharan,68358,2008
12,Skoda oktavia tur 1.9 tdi 2004,84548,2004
13,Kia Sportage 2021,798707,2021
14,Продам BMW 318 seria,165498,2002
15,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
16,"Хюндай і30 , 2012 р",219465,2012
17,Продам Infinity G35X,307610,2008
18,Продам Ауді 80 бочка,63000,1990
19,Toyota aygo 2007р. Ручна к/п,151107,2007
20,Продам Ауді А6 С5,151107,2001
21,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
22,Mercedes Sprinter 2.9,140313,1999
23,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
24,"Honda CRV 2,4 2016р.",683578,2016
25,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
26,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
27,Продам волинянку луаз,25000,1989
28,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
29,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
30,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
31,Nissan Rogue 2016 SLawd,557656,2016
32,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
33,Продам авто в хорошем состоянии,241051,2009
34,Opel Frontera B 1999,259040,1999
35,Обмен Продам ваз 2115 Самара гбо,77352,2007
36,Opel Combo 1.7 дизель 2006 року,160101,2006
37,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
38,Kia Optima 2.0 turbo,377767,2011
39,Тойота Rav4 2.2 автомат,924629,2017
40,Ваз 2112. Хозяин газ 4,93000,2006
41,Ваз 2105 продам торг,46771,2000
42,продам тесла модел 3,1036161,2018
43,Продам ваз 2106,32380,1975
44,"Daewoo Sens, Сенс, возможен обмен",86347,2005
45,"Продам , можливий обмін",269834,2007
46,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
47,Mercedes-Benz S400d,3054515,2017
48,ВАЗ 2102 1975 рік,17000,1975
49,Продам Reno Megan 3.,269834,2010
50,До вашої уваги хороше авто з малим пробігом,129484,2003
51,продам ваз 2101,15000,1987
52,АвтомобільНива ВАЗ 2121,125922,2002
53,Машина  в хорошем состоянии,79151,1999
54,Продам Seat Cordoba,50000,1994
55,Ваз 2101 газ бензин,35978,1980
56,Продам Мерседес Мль 350,323800,2007
57,Продаю Opel Vektra C,161900,2008
58,Daewoo sens (Део сенс),53967,2007
59,Продам е46 touring 320d,147509,2001
60,Продам авто Golf 3,120526,1994
61,Продам Chery amulet,82749,2007
62,Mitsubishi L 200. 2015 рік,136716,2015
63,Продам volkswagen sharan,68358,2008
64,Skoda oktavia tur 1.9 tdi 2004,84548,2004
65,Kia Sportage 2021,798707,2021
66,Продам BMW 318 seria,165498,2002
67,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
68,"Хюндай і30 , 2012 р",219465,2012
69,Продам Infinity G35X,307610,2008
70,Продам Ауді 80 бочка,63000,1990
71,Toyota aygo 2007р. Ручна к/п,151107,2007
72,Продам Ауді А6 С5,151107,2001
73,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
74,Mercedes Sprinter 2.9,140313,1999
75,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
76,"Honda CRV 2,4 2016р.",683578,2016
77,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
78,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
79,Продам волинянку луаз,25000,1989
80,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
81,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
82,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
83,Nissan Rogue 2016 SLawd,557656,2016
84,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
85,Продам авто в хорошем состоянии,241051,2009
86,Opel Frontera B 1999,259040,1999
87,Обмен Продам ваз 2115 Самара гбо,77352,2007
88,Opel Combo 1.7 дизель 2006 року,160101,2006
89,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
90,Kia Optima 2.0 turbo,377767,2011
91,Тойота Rav4 2.2 автомат,924629,2017
92,Ваз 2112. Хозяин газ 4,93000,2006
93,Ваз 2105 продам торг,46771,2000
94,продам тесла модел 3,1036161,2018
95,Продам ваз 2106,32380,1975
96,"Daewoo Sens, Сенс, возможен обмен",86347,2005
97,"Продам , можливий обмін",269834,2007
98,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
99,Mercedes-Benz S400d,3054515,2017
100,ВАЗ 2102 1975 рік,17000,1975
101,Продам Reno Megan 3.,269834,2010
102,До вашої уваги хороше авто з малим пробігом,129484,2003
103,продам ваз 2101,15000,1987
104,АвтомобільНива ВАЗ 2121,125922,2002
105,Машина  в хорошем состоянии,79151,1999
106,Продам Seat Cordoba,50000,1994
107,Ваз 2101 газ бензин,35978,1980
108,Продам Мерседес Мль 350,323800,2007
109,Продаю Opel Vektra C,161900,2008
110,Daewoo sens (Део сенс),53967,2007
111,Продам е46 touring 320d,147509,2001
112,Продам авто Golf 3,120526,1994
113,Продам Chery amulet,82749,2007
114,Mitsubishi L 200. 2015 рік,136716,2015
115,Продам volkswagen sharan,68358,2008
116,Skoda oktavia tur 1.9 tdi 2004,84548,2004
117,Kia Sportage 2021,798707,2021
118,Продам BMW 318 seria,165498,2002
119,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
120,"Хюндай і30 , 2012 р",219465,2012
121,Продам Infinity G35X,307610,2008
122,Продам Ауді 80 бочка,63000,1990
123,Toyota aygo 2007р. Ручна к/п,151107,2007
124,Продам Ауді А6 С5,151107,2001
125,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
126,Mercedes Sprinter 2.9,140313,1999
127,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
128,"Honda CRV 2,4 2016р.",683578,2016
129,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
130,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
131,Продам волинянку луаз,25000,1989
132,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
133,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
134,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
135,Nissan Rogue 2016 SLawd,557656,2016
136,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
137,Продам авто в хорошем состоянии,241051,2009
138,Opel Frontera B 1999,259040,1999
139,Обмен Продам ваз 2115 Самара гбо,77352,2007
140,Opel Combo 1.7 дизель 2006 року,160101,2006
141,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
142,Kia Optima 2.0 turbo,377767,2011
143,Тойота Rav4 2.2 автомат,924629,2017
144,Ваз 2112. Хозяин газ 4,93000,2006
145,Ваз 2105 продам торг,46771,2000
146,продам тесла модел 3,1036161,2018
147,Продам ваз 2106,32380,1975
148,"Daewoo Sens, Сенс, возможен обмен",86347,2005
149,"Продам , можливий обмін",269834,2007
150,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
151,Mercedes-Benz S400d,3054515,2017
152,ВАЗ 2102 1975 рік,17000,1975
153,Продам Reno Megan 3.,269834,2010
154,До вашої уваги хороше авто з малим пробігом,129484,2003
155,продам ваз 2101,15000,1987
156,АвтомобільНива ВАЗ 2121,125922,2002
157,Машина  в хорошем состоянии,79151,1999
158,Продам Seat Cordoba,50000,1994
159,Ваз 2101 газ бензин,35978,1980
160,Продам Мерседес Мль 350,323800,2007
161,Продаю Opel Vektra C,161900,2008
162,Daewoo sens (Део сенс),53967,2007
163,Продам е46 touring 320d,147509,2001
164,Продам авто Golf 3,120526,1994
165,Продам Chery amulet,82749,2007
166,Mitsubishi L 200. 2015 рік,136716,2015
167,Продам volkswagen sharan,68358,2008
168,Skoda oktavia tur 1.9 tdi 2004,84548,2004
169,Kia Sportage 2021,798707,2021
170,Продам BMW 318 seria,165498,2002
171,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
172,"Хюндай і30 , 2012 р",219465,2012
173,Продам Infinity G35X,307610,2008
174,Продам Ауді 80 бочка,63000,1990
175,Toyota aygo 2007р. Ручна к/п,151107,2007
176,Продам Ауді А6 С5,151107,2001
177,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
178,Mercedes Sprinter 2.9,140313,1999
179,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
180,"Honda CRV 2,4 2016р.",683578,2016
181,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
182,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
183,Продам волинянку луаз,25000,1989
184,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
185,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
186,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
187,Nissan Rogue 2016 SLawd,557656,2016
188,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
189,Продам авто в хорошем состоянии,241051,2009
190,Opel Frontera B 1999,259040,1999
191,Обмен Продам ваз 2115 Самара гбо,77352,2007
192,Opel Combo 1.7 дизель 2006 року,160101,2006
193,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
194,Kia Optima 2.0 turbo,377767,2011
195,Тойота Rav4 2.2 автомат,924629,2017
196,Ваз 2112. Хозяин газ 4,93000,2006
197,Ваз 2105 продам торг,46771,2000
198,продам тесла модел 3,1036161,2018
199,Продам ваз 2106,32380,1975
200,"Daewoo Sens, Сенс, возможен обмен",86347,2005
201,"Продам , можливий обмін",269834,2007
202,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
203,Mercedes-Benz S400d,3054515,2017
204,ВАЗ 2102 1975 рік,17000,1975
205,Продам Reno Megan 3.,269834,2010
206,До вашої уваги хороше авто з малим пробігом,129484,2003
207,продам ваз 2101,15000,1987
208,АвтомобільНива ВАЗ 2121,125922,2002
209,Машина  в хорошем состоянии,79151,1999
210,Продам Seat Cordoba,50000,1994
211,Ваз 2101 газ бензин,35978,1980
212,Продам Мерседес Мль 350,323800,2007
213,Продаю Opel Vektra C,161900,2008
214,Daewoo sens (Део сенс),53967,2007
215,Продам е46 touring 320d,147509,2001
216,Продам авто Golf 3,120526,1994
217,Продам Chery amulet,82749,2007
218,Mitsubishi L 200. 2015 рік,136716,2015
219,Продам volkswagen sharan,68358,2008
220,Skoda oktavia tur 1.9 tdi 2004,84548,2004
221,Kia Sportage 2021,798707,2021
222,Продам BMW 318 seria,165498,2002
223,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
224,"Хюндай і30 , 2012 р",219465,2012
225,Продам Infinity G35X,307610,2008
226,Продам Ауді 80 бочка,63000,1990
227,Toyota aygo 2007р. Ручна к/п,151107,2007
228,Продам Ауді А6 С5,151107,2001
229,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
230,Mercedes Sprinter 2.9,140313,1999
231,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
232,"Honda CRV 2,4 2016р.",683578,2016
233,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
234,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
235,Продам волинянку луаз,25000,1989
236,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
237,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
238,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
239,Nissan Rogue 2016 SLawd,557656,2016
240,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
241,Продам авто в хорошем состоянии,241051,2009
242,Opel Frontera B 1999,259040,1999
243,Обмен Продам ваз 2115 Самара гбо,77352,2007
244,Opel Combo 1.7 дизель 2006 року,160101,2006
245,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
246,Kia Optima 2.0 turbo,377767,2011
247,Тойота Rav4 2.2 автомат,924629,2017
248,Ваз 2112. Хозяин газ 4,93000,2006
249,Ваз 2105 продам торг,46771,2000
250,продам тесла модел 3,1036161,2018
251,Продам ваз 2106,32380,1975
252,"Daewoo Sens, Сенс, возможен обмен",86347,2005
253,"Продам , можливий обмін",269834,2007
254,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
255,Mercedes-Benz S400d,3054515,2017
256,ВАЗ 2102 1975 рік,17000,1975
257,Продам Reno Megan 3.,269834,2010
258,До вашої уваги хороше авто з малим пробігом,129484,2003
259,продам ваз 2101,15000,1987
260,АвтомобільНива ВАЗ 2121,125922,2002
261,Машина  в хорошем состоянии,79151,1999
262,Продам Seat Cordoba,50000,1994
263,Ваз 2101 газ бензин,35978,1980
264,Продам Мерседес Мль 350,323800,2007
265,Продаю Opel Vektra C,161900,2008
266,Daewoo sens (Део сенс),53967,2007
267,Продам е46 touring 320d,147509,2001
268,Продам авто Golf 3,120526,1994
269,Продам Chery amulet,82749,2007
270,Mitsubishi L 200. 2015 рік,136716,2015
271,Продам volkswagen sharan,68358,2008
272,Skoda oktavia tur 1.9 tdi 2004,84548,2004
273,Kia Sportage 2021,798707,2021
274,Продам BMW 318 seria,165498,2002
275,SEAT Toledo 1.6 бензин 2005 р.,194280,2005
276,"Хюндай і30 , 2012 р",219465,2012
277,Продам Infinity G35X,307610,2008
278,Продам Ауді 80 бочка,63000,1990
279,Toyota aygo 2007р. Ручна к/п,151107,2007
280,Продам Ауді А6 С5,151107,2001
281,"Авто Kia Sportage 2013р. 1.7 дизель, обмін (Перший внесок від 20%)",478505,2013
282,Mercedes Sprinter 2.9,140313,1999
283,"Chevrolet captiva 2.0cdti 4х4, 7 місць",289621,2007
284,"Honda CRV 2,4 2016р.",683578,2016
285,Skoda Octavia Tour 2000р 1.9TDI 66kw,138515,2000
286,"SKODA SUPER B, шкода супер б, в Хорошем состоянии",212269,2006
287,Продам волинянку луаз,25000,1989
288,Свіжопригнана Renault Grand Scenic 2013 1.5d 7місць,348985,2013
289,Продам опель вектра б 2.0 дізелю або обмін з доплатою,19788,2001
290,Ланос 1.4 сенс малий пробіг газ вписаний,89945,2009
291,Nissan Rogue 2016 SLawd,557656,2016
292,"Срочно! Правый руль!BMW X5 3.0d 2005 рестайлинг, в пленке",151107,2005
293,Продам авто в хорошем состоянии,241051,2009
294,Opel Frontera B 1999,259040,1999
295,Обмен Продам ваз 2115 Самара гбо,77352,2007
296,Opel Combo 1.7 дизель 2006 року,160101,2006
297,"Продам ssang yong rexton, дизель только из ЕС",203982,2008
298,Kia Optima 2.0 turbo,377767,2011
299,Тойота Rav4 2.2 автомат,924629,2017
300,Ваз 2112. Хозяин газ 4,93000,2006
301,Ваз 2105 продам торг,46771,2000
302,продам тесла модел 3,1036161,2018
303,Продам ваз 2106,32380,1975
304,"Daewoo Sens, Сенс, возможен обмен",86347,2005
305,"Продам , можливий обмін",269834,2007
306,Audi Q5 2011 Premium Plus 2.0tfsi Quattro,521678,2011
307,Mercedes-Benz S400d,3054515,2017
308,ВАЗ 2102 1975 рік,17000,1975
309,Продам Reno Megan 3.,269834,2010
310,До вашої уваги хороше авто з малим пробігом,129484,2003
311,продам ваз 2101,15000,1987
